Namespace(batch_size=24, dataset_path='ModelNet40', dataset_type='modelnet', device='cuda:0', emb_dims=1024, epochs=200, eval=False, exp_name='exp_pnlk', fine_tune_pointnet='tune', num_points=1024, optimizer='Adam', pretrained='', resume='', seed=1234, start_epoch=0, symfn='max', transfer_ptnet_weights='./checkpoints/exp_classifier/models/best_ptnet_model.t7', workers=4)
EPOCH:: 1, Traininig Loss: 14.408318, Testing Loss: 2.414923, Best Loss: 2.414923
EPOCH:: 2, Traininig Loss: 3.892108, Testing Loss: 1.438219, Best Loss: 1.438219
EPOCH:: 3, Traininig Loss: 5.030073, Testing Loss: 0.800098, Best Loss: 0.800098
EPOCH:: 4, Traininig Loss: 3.343115, Testing Loss: 1.177937, Best Loss: 0.800098
EPOCH:: 5, Traininig Loss: 3.008535, Testing Loss: 0.960659, Best Loss: 0.800098
EPOCH:: 6, Traininig Loss: 1.530319, Testing Loss: 1.908202, Best Loss: 0.800098
EPOCH:: 7, Traininig Loss: 4.059114, Testing Loss: 1.535683, Best Loss: 0.800098
EPOCH:: 8, Traininig Loss: 4.315329, Testing Loss: 1.564648, Best Loss: 0.800098
EPOCH:: 9, Traininig Loss: 5.852137, Testing Loss: 0.717028, Best Loss: 0.717028
EPOCH:: 10, Traininig Loss: 1.656026, Testing Loss: 0.744882, Best Loss: 0.717028
EPOCH:: 11, Traininig Loss: 2.381637, Testing Loss: 0.697948, Best Loss: 0.697948
EPOCH:: 12, Traininig Loss: 0.792611, Testing Loss: 0.521418, Best Loss: 0.521418
EPOCH:: 13, Traininig Loss: 6.455037, Testing Loss: 1.164387, Best Loss: 0.521418
EPOCH:: 14, Traininig Loss: 9.339244, Testing Loss: 2.442899, Best Loss: 0.521418
EPOCH:: 15, Traininig Loss: 7.422797, Testing Loss: 1.735540, Best Loss: 0.521418
EPOCH:: 16, Traininig Loss: 7.256695, Testing Loss: 5.888188, Best Loss: 0.521418
EPOCH:: 17, Traininig Loss: 10.768486, Testing Loss: 1.944071, Best Loss: 0.521418
EPOCH:: 18, Traininig Loss: 5.064585, Testing Loss: 2.213050, Best Loss: 0.521418
EPOCH:: 19, Traininig Loss: 11.603862, Testing Loss: 8.812437, Best Loss: 0.521418
EPOCH:: 20, Traininig Loss: 30.110181, Testing Loss: 4.509138, Best Loss: 0.521418
EPOCH:: 21, Traininig Loss: 19.956603, Testing Loss: 3.880283, Best Loss: 0.521418
EPOCH:: 22, Traininig Loss: 12.938464, Testing Loss: 8.228950, Best Loss: 0.521418
EPOCH:: 23, Traininig Loss: 15.740301, Testing Loss: 2.794474, Best Loss: 0.521418
EPOCH:: 24, Traininig Loss: 39.169248, Testing Loss: 17.072647, Best Loss: 0.521418
EPOCH:: 25, Traininig Loss: 35.393274, Testing Loss: 9.553790, Best Loss: 0.521418
EPOCH:: 26, Traininig Loss: 23.029605, Testing Loss: 6.423855, Best Loss: 0.521418
EPOCH:: 27, Traininig Loss: 53.592183, Testing Loss: 32.255959, Best Loss: 0.521418
EPOCH:: 28, Traininig Loss: 46.278852, Testing Loss: 32.558734, Best Loss: 0.521418
EPOCH:: 29, Traininig Loss: 134.842527, Testing Loss: 26.111457, Best Loss: 0.521418
EPOCH:: 30, Traininig Loss: 59.830286, Testing Loss: 16.930228, Best Loss: 0.521418
EPOCH:: 31, Traininig Loss: 67.044893, Testing Loss: 5.402782, Best Loss: 0.521418
EPOCH:: 32, Traininig Loss: 34.327167, Testing Loss: 8.584709, Best Loss: 0.521418
EPOCH:: 33, Traininig Loss: 21.598534, Testing Loss: 6.852180, Best Loss: 0.521418
EPOCH:: 34, Traininig Loss: 21.209967, Testing Loss: 10.660460, Best Loss: 0.521418
EPOCH:: 35, Traininig Loss: 17.788804, Testing Loss: 3.562531, Best Loss: 0.521418
EPOCH:: 36, Traininig Loss: 12.677377, Testing Loss: 3.247929, Best Loss: 0.521418
EPOCH:: 37, Traininig Loss: 13.814140, Testing Loss: 3.447943, Best Loss: 0.521418
EPOCH:: 38, Traininig Loss: 12.963266, Testing Loss: 9.675334, Best Loss: 0.521418
EPOCH:: 39, Traininig Loss: 16.008737, Testing Loss: 5.924363, Best Loss: 0.521418
EPOCH:: 40, Traininig Loss: 19.106420, Testing Loss: 6.593735, Best Loss: 0.521418
EPOCH:: 41, Traininig Loss: 23.020961, Testing Loss: 4.971778, Best Loss: 0.521418
EPOCH:: 42, Traininig Loss: 20.542026, Testing Loss: 4.465285, Best Loss: 0.521418
EPOCH:: 43, Traininig Loss: 14.442469, Testing Loss: 2.779979, Best Loss: 0.521418
EPOCH:: 44, Traininig Loss: 9.134055, Testing Loss: 11.292237, Best Loss: 0.521418
EPOCH:: 45, Traininig Loss: 33.786845, Testing Loss: 5.592368, Best Loss: 0.521418
EPOCH:: 46, Traininig Loss: 29.932399, Testing Loss: 25.253954, Best Loss: 0.521418
EPOCH:: 47, Traininig Loss: 18.493688, Testing Loss: 25.041623, Best Loss: 0.521418
EPOCH:: 48, Traininig Loss: 39.587992, Testing Loss: 8.908315, Best Loss: 0.521418
EPOCH:: 49, Traininig Loss: 27.636483, Testing Loss: 11.726213, Best Loss: 0.521418
EPOCH:: 50, Traininig Loss: 28.394957, Testing Loss: 47.654348, Best Loss: 0.521418
EPOCH:: 51, Traininig Loss: 16.450855, Testing Loss: 4.428712, Best Loss: 0.521418
EPOCH:: 52, Traininig Loss: 27.244390, Testing Loss: 771.261008, Best Loss: 0.521418
EPOCH:: 53, Traininig Loss: 17.664819, Testing Loss: 4.261033, Best Loss: 0.521418
EPOCH:: 54, Traininig Loss: 21.060448, Testing Loss: 6.506568, Best Loss: 0.521418
EPOCH:: 55, Traininig Loss: 30.153874, Testing Loss: 4.179910, Best Loss: 0.521418
